id,título,año,género,director,duración,calificación,país
1,Forrest Gump,1958,Musical,Francis Ford Coppola,126,4.1,Spain
2,Gladiator,1957,Historia,Wachowski Sisters,135,5.8,France
3,Titanic,2003,Drama,Hayao Miyazaki,107,1.1,Canada
4,The Matrix,1979,Ciencia Ficción,Christopher Nolan,112,7.1,France
5,Interstellar,2003,Crimen,Hayao Miyazaki,86,5.8,Canada
6,La La Land,2002,Crimen,Bong Joon-ho,112,2.4,Germany
7,Jurassic Park,1991,Historia,Francis Ford Coppola,106,6.8,USA
8,The Shawshank Redemption,1959,Romance,Quentin Tarantino,120,6.6,Japan
9,Forrest Gump,1965,Drama,Hayao Miyazaki,126,8.9,USA
10,Interstellar,1950,Animación,Christopher Nolan,114,6.1,France
11,Spirited Away,1973,Musical,Wachowski Sisters,166,7.7,UK
12,The Shawshank Redemption,2015,Musical,Steven Spielberg,92,8.1,Australia
13,Parasite,2003,Romance,Francis Ford Coppola,131,9.5,Japan
14,Pulp Fiction,1953,Acción,Wachowski Sisters,94,9.2,Australia
15,Pulp Fiction,1989,Ciencia Ficción,Peter Jackson,118,6.4,South Korea
16,Titanic,1985,Ciencia Ficción,George Lucas,151,8.5,South Korea
17,La La Land,1982,Crimen,Ridley Scott,133,6.8,South Korea
18,The Shawshank Redemption,2003,Thriller,Christopher Nolan,93,3.8,USA
19,Fight Club,1988,Drama,Martin Scorsese,144,2.0,France
20,The Lion King,1968,Thriller,David Fincher,171,5.9,South Korea
21,The Lord of the Rings,1956,Thriller,Francis Ford Coppola,178,1.5,Japan
22,The Dark Knight,1993,Thriller,Wachowski Sisters,97,9.3,Canada
23,La La Land,2002,Romance,Wachowski Sisters,102,2.0,Italy
24,Forrest Gump,1957,Historia,James Cameron,123,1.2,Italy
25,Jurassic Park,1999,Acción,Hayao Miyazaki,172,8.3,Italy
26,Interstellar,1957,Comedia,James Cameron,107,9.1,Canada
27,The Matrix,2001,Musical,Wachowski Sisters,105,3.5,Spain
28,The Dark Knight,2023,Drama,Ridley Scott,124,1.5,South Korea
29,Spirited Away,1998,Thriller,George Lucas,128,8.1,Japan
30,Interstellar,2022,Ciencia Ficción,George Lucas,82,2.7,Canada
31,Avengers: Endgame,1972,Drama,Peter Jackson,132,5.4,Australia
32,Star Wars,1978,Comedia,Peter Jackson,174,3.3,UK
33,Forrest Gump,2011,Acción,Christopher Nolan,178,4.6,USA
34,The Lord of the Rings,1993,Animación,Martin Scorsese,137,9.0,Canada
35,Inception,2000,Crimen,Martin Scorsese,104,7.8,South Korea
36,The Lion King,1963,Animación,Hayao Miyazaki,178,4.8,South Korea
37,Titanic,1967,Crimen,Damien Chazelle,129,4.5,USA
38,Avengers: Endgame,2002,Animación,George Lucas,102,5.2,Japan
39,La La Land,2011,Acción,James Cameron,163,6.6,Canada
40,Pulp Fiction,2016,Romance,Christopher Nolan,152,5.6,USA
41,The Matrix,1984,Romance,Ridley Scott,176,8.7,USA
